bundle ID,intent
0,Storage Devices
1,Batteries
2,Local area network for home or office
3,Car sound system and radio set up
4,Based on the high demand.
5,Memory Related
6,"upgrading personal computer desktop
"
7,assembling a desktop
8,Computers
9,Camera and its equipments
10,Camera
11,chargers
12,tablet
13,splitters
14,external storage
15,Power strip adopters 
16,servers
17,Led Light
18,Cables/Cords
19,Travel
20,Multiple Charger
21,assembling a desktop
22,connecting pins
23,mobile purpuse
24,Item 2 may be useful to charge item 6 battery
25,protecting smartphone
26,Headsets and hardware to use it.
27,Headphones and speakers
28,Music player
29,Listening to/Viewing media
30,Pad Cover 
31,video editing
32,RCA To usb
33,Photography
34,protecting a Mac product
35,cable 
36,Home theatre laptop based
37,Accesories for music and video player
38,Headphones and headphone accessories
39,2
40,Dual-Band Wireless slightly same product
41,wireless internet setup
42,HDMI Switcher
43,This both product are connected each other for work
44,different adaptors
45,different battery
46,To buy a usb 
47,Bluetooth Adapter
48,different hard drive
49,camera accessories
50,Items for q camera to work. Along with a camera
51,mouse
52,Computer accessories
53,Tablet Bundle
54,Samsung Galaxy Tab Accessories
55,Tools
56,Camera accessories
57,different external battery
58,tablet and case
59,HDMi Cables
60,Storage disk
61,external storage
62,Audio visual package
63,Tablets and assessories
64,Alternative products
65,assembling a desktop
66,"Item2, Item3,Item4,Item5 and Item6"
67,ethernet cables
68,camera accessories
69,a camera starter pack with protection and extra battery
70,GoPro related accessories
71,For streaming gameplay on Twitch or other streaming sites
72,Cables
73,TV accessories
74,Electronics
75,Memory  Card/USB
76,Power
77,Item 1 accessory for Item 4
78,cowboy studio
79,intrested
80,photo studio
81,Photography
82,Smartphone Cases To protect Smartphones
83,to setup a LAN
84,Phone accesories
85,Router
86,Extending the RAM/ROM to the desktop
87,Kingston HyperX 12GB Kit (3x4GB Modules) 1600MHz DDR3 DIMM Desktop Memory (KHX1600C9D3K3/12GX)
88,CCTV
89,Computer parts
90,"for Cameras, photo or video"
91,studio setup
92,3.5mm jack cabels or adapters
93,accessories for apple products
94,audio and visual connections
95,Computer starterpack
96,different sd cards
97,headphone and accessories
98,Listening to and amplifying music 
99,HDMI PIN
100,Camera accesories
101,network purpuse
102,Computer components.
103,laptop working
104,Nikon D800 Camera
105,different adapters
106,to upgrade a laptop
107,HDMI cables
108,Wifi streaming
109,Networking components
110,computer software fits 
111,screen protectors
112,Microsoft Surface protection
113,making WiFi
114,Protecting an iPad
115,USB/Pendrive
116,Item1 and Item3
117,"car upgrade 
radio and reverse camera"
118,Car tech upgrades
119,Cable connections 
120,Cable and cable adapter
121,Cables
122,HDMI connectivity
123,Car audio setup
124,Vehicle 
125,"buy a tablet and have it protected, with additional memory and without problems of autonomy"
126,Audio/Music
127,GoPro Mounts
128,Video
129,gopros accessories
130,photographer bundle
131,Camera and Photography
132,Mac Displayport Adapter
133,assembling a photo studio
134,for use with a camera
135,ADAPTER
136,Complimentary products
137,Gaming Computer assembly
138,Assembling a desktop
139,all computer accessories 
140,The intent would be to upgrade Personal Computer(PC) or utilizing PC more effectively. 
141,assembling coputer
142,Building a gaming computer 
143,laptop
144,Media / technology 
145,TV and support
146,Camera accessories
147,electronic using
148,Camera
149,every thing we can did in one package
150,Computer accessories
151,different recorders
152,computer accessories
153,tv mounting
154,HDMI cables with adaptors
155,Connectivity to laptop
156,To protect or filter UV rays
157,security camera
158,ACCESSORIES AND PROTECTIVE COVER FOR LAPTOP
159,mobile accessories
160,ASUS Tablet
161,ASUS TF300 replacement
162,Stability
163,Dslr camera accessories 
164,Professional Filming
165,equipment protection
166,Building a desktop
167,camera and accessories
168,camera
169,External devices required for PC
170,ipad cases
171,different gps holder
172,Assembling desktop
173,external memory
174,Camera mounting pack
175,Macbook protection (impact/dust)
176,MacBook
177,Camera accessories
178,computer accessories 
179,Cable and strap
180,Camera storage
181,SAVE PHOTOS ITEM 3 AND 4
182,Cam accessories
183,to build a gamic pc
184,different keyboards
185,keyboards and accessories
186,Thinkpad accessories
187,tablet
188,RAMs
189,PC Cables
190,system parts
191,Computer accessories 
192,Wifi setup
193,Wifi connection with a computer to log on to it with
194,Computer assembly
195,Receiver 
196,Audio Player
197,"1,3,5 complementary products"
198,Camera accessories 
199,Ipad essential
200,smart technology
201,Computer usage
202,sony hx300 starter
203,Traveling and taking photos
204,protecting tablet
205,ALL THE ITEMS ARE RELEVANT SO THESE ITEMS CAN MAKE REASONABLE BUNDLES.
206,camera accessories 
207,Receptor and subwoofer
208,good quality  of sound
209,"DVD writer and cd storage, accessories"
210,Computer Spares
211,To build a PC
212,Desktop CPU Components
213,IPod Parts & Tools 
214,Tomtom accessories
215,Protective cases for LG G Pad Tablet
216,different adaptors
217,Gamer who requires a decent monitor and high-speed WiFi to play online
218,i pod accessories 
219,Ipod and its screen protector and case
220,Accessories for pioneer recevier
221,Micro usb cables
222,Audio Listening.
223,buying a laptop
224,Lenovo Laptop and accesories
225,desktop computer assembly
226,tablet kit
227,external harddisk and cable
228,assembling a PC
229,Computer Components
230,USB cable
231,Antenna set
232,Blu rayer player and cable
233,Unsure
234,mounting TV 
235,Laptop related
236,Music related
237,usb
238,complementary
239,These are the computer accessories
240,this bundle is perfect with and hdmi to make a connection with the projector and the wireless keyboard must like make things easier without having to get infront of the computer and projector.
241,Assembling a Computer
242,assembling a desktop
243,cables and chargers
244,To build a pc
245,keyboard
246,protecting laptop
247,GoPro Related
248,Gopro Accessories
249,more applicable
250,Phone case/compartment/holder
251,Photography
252,Laptop Accessories
253,The user is intending to store work / videos / photos on an external hard drive to make these files portable 
254,gopro starter
255,Nikon camera accessories
256,nikon starter
257,camera accessories 
258,ipod accessories
259,Go Pro Setup
260,external storage
261,different headphones
262,camera accessories
263,assemble a desktop
264,usb speaker alternative product
265,usb cable
266,High scale photography equipment
267,case for tablet
268,both cases
269,This is a camera bundle.
270,Camera carrying
271,Nexus 7 Tablet Accessories
272,nice
273,Setting up an HDMI connection
274,"audio
"
275,camcorder and accessories
276,HANDSFREE HEAD SET
277,BRAND
278,Battery accessories
279,Recording bundle
280,different bags
281,camera accessories
282,ASSEMBLING LOGITECH COMPUTER
283,Flash Photography
284,Camera ans accessories 
285,DSLR related
286,camera accessories
287,electronic sgood
288,Go pro camera and its gadgets
289,protecting laptop
290,Sound and Speaker
291,Battery
292,Adapters
293,technical accessories
294,watching tv
295,different keyboards
296,ALTERNATIVE PRODUCTS
297,Tablet
298,Apple iPad
299,mouse and pads
300,Hand Radio Accessories
301,Antenna
302,complete car speaker system setup
303,assembling a speaker system
304,Photography Accessories
305,Hobby
306,assemble desktop
307,home computer
308,keyboard
309,HDMI cord organization
310,Setup a speaker
311,iPad accessories 
312,Photo
313,Camera accessories
314,filters and holder
315,Internet Connection
316,Laptop Accessories
317,MacBook case
318,Data storage units
319,port
320,tv connectivity
321,HDMI ADAPTER CONVERTER 
322,storage
323,Camera Accessories
324,Camera Accesories
325,USB Drives
326,Computer Components
327,for pc s
328,Electrical components for TV system.
329,complementary products
330,wi-fi
331,apple ipad & apple tv
332,extender with hdmi to dvi cable
333,audio
334,Protecting audio amplifier 
335,Car sound system
336,Speaker Equipment
337,different power supply
338,build WiFi
339,tablet and accessories
340,Connecting electronic gadgets
341,battery support
342,Music Players
343,all connection with laptop and phone
344,Hearing Accesories
345,Speaker parts
346,Tablet and its acceasories
347,GoPro accessories
348,Protecting SD card
349,Headphones
350,CAR AUDIO
351,Computer accessories
352,camera and accessories
353,wireless audio receiver and sound bar for Home audio
354,Bluetooth compatibility
355,Speaker Cable
356,Desktop external drives go with connections
357,Photography equipment
358,Accessories for HP TOUCHPAD
359,audio equipment 
360,touch pad
361,Projector bundle
362,computer accessories
363,Protector/Cover
364,Keyboard
365,Bag
366,Photography / Videography
367,listening music from new laptop
368,"To watch TV, and since Apple TV Requires HDMI, then it makes sense"
369,Photography
370,Compatible tablet and accessories
371,Tab and its accessory
372,Audio recorder
373,Connecting BNC cables
374,Electronic items
375,Ipad protection gear
376,iPad protection
377,Honeywell Products
378,Computers
379,Security
380,Connecting to a computer
381,Protecting apple laptop
382,Case for macbook
383,Television Accessories
384,Making a computer
385,Networking (ethernet)
386,SD Card reader
387,To purchase devices that receive tv signals.
388,cases for tablets
389,ipad protection
390,TF700T Accessories
391,For Wall Mount LED TV
392,All the items are co-related
393,camera and accessories
394,they are all parts for computers
395,Desktop asembling
