bundle ID,intent
0,Asian food products
1,Seaweed
2,Furikake
3,sweet
4,cup coffee
5,different candy
6,Fruit Leather
7,Teas
8,feed baby
9,Vermont Organics Soy-Based Organic Infant Formula with Iron
10,"
TRADITIONAL SNACKS
"
11,vegetables
12,drinks
13,They are complementary granola/topping
14,Different food for baking
15,Different food for cooking
16,"Spicy World Crushed Mint Leaves, 3.5-Ounce Bags (Pack of 6)"
17,seasonings
18,Different food for drinking
19,Coffee
20,FOOD
21,coffee
22,Fruit snacks
23,Sweet cookies 
24,Crackers
25,Pasta
26,Cooking & Baking
27,Different food for cooking
28,Butter cookie
29,breakfast
30,Candy Bars
31,Canned goods
32,Baking goods
33,Seasoning (Salt and sugar)
34,Different food for drinking
35,Noodles
36,different candy
37,seeds
38,fruits
39,bundle 1
40,snacks
41,Good2Grow Fruit Juice
42,Coconut milk
43,Heath conscience beverages
44,Oils
45,Baking ingredients
46,Mother Earth Products
47,Whole Milk Powders
48,garlic and chives
49,Nuts
50,Healthy snacks
51,Spices
52,different types of coffee
53,Sweet Snacks
54,Exotic Flavours
55,coffee cups
56,sauce
57,Lemon drops
58,"Coffee, Tea & Cocoa"
59,Candy and chocolate
60,Drinks 
61,Tea
62,choco vollmkch
63,VITAMIN C
64,Cups for coffee machine
65,quick breakfast for on the go
66,Spaghetti Pasta
67,snacks
68,chews
69,Candy & Chocolate
70,red mil
71,coconut
72,snacks
73,Low carb snacks
74,Sweets
75,baking items
76,k cup coffee 
77,Different food of snack
78,different tea
79,Tea bags
80,Organic powder
81,berries
82,Healthy superfoods for life improvement
83,different cakes
84,bars
85,Coconut products
86,SNACK ITEMS
87,snacks
88,tea bags 
89,"packing size and product quality good, the packing very attractive"
90,nuts
91,coffee related
92,Different food for cooking
93,Different flavors of tea bags
94,Cooking/seasoning
95,Snacks
96,curry
97,ice
98,caramel
99,spicy food 
100,Nuts
101,K-cup coffee
102,chocolate bars
103,cocoa powder
104,snacks
105,Hot beverages
106,All of them are candy.
107,different juice
108,different candy
109,different nuts
110,500
111,Ready to Eat Meals
112,Different flavors of tea
113,body supplements
114,Tea / Coffee Making
115,Tea
116,K cup
117,K coffee
118,Different food of snack
119,Different flavors of mix
120,baking
121,Organic Cooking
122,breakfast
123,bulk gluten-free foods
124,gluten free products
125,baking ingrediants
126,Different food for drinking
127,Maple Syrup
128,Seasoning blend
129,Tasty foods 
130,snack food
131,THE COST IS AFFORDABLE 
132,seeds
133,snacks
134, Libby's Organic Whole Kernel Sweet Corn and Sweet Peas 
135,Organic products
136,Tea
137,Coffee
138,ALL ARE MILK RELATED
139,food
140,Different flavors of k cup
141,Different food for drinking
142,Breakfast Items
143,different candy
144,ALCOL SET
145,JUICE
146,SNACK FOOD
147,different food for cooking
148,Different food for drinking
149,Baking goods
150,Italian Seasoning
151,Mixer and snack
152,they can be used in bundle
153,Gluten-free foods/ingredients
154,biscuits
155,tea and sugar
156,noodle and crio
157,MIO FIT energy drink enhancers
158,Items 2-5 are flavored water enhancers.
159,coffee flavors
160,Different flavors of mix
161,Different flavors of sauce
162,Organic
163,oils
164,Coffee
165,Different food for drinking
166,coffee products
167,organic
168,gluten free
169,kosher
170,Artificial Sweetener
171,ORGANIC
172,FOOD
173,Drinks 
174,Baking Products
175,Tea and Coffee
176,Dry fruits
177,Instant Breakfast
178,eat canned food
179,They are ready-to-eat fruit cups
180,ORGANIC
181,organic sprouting seeds
182,Sugar free productd
183,coffee
184,different food for cooking
185,the intent was chewable candy. 
186,Dry Fruit
187,Nuts
188,BREAKFAST FOODS
189,ounce bottles
190,Tinned food
191,Baking
192,Could be an arts and craft teacher 
193,Snack
194,Dried fruit
195,snack foods
196,beverages
197,Snack food
198,Biscuits
199,HEALTHY FOOD
200,COOKING SPICES
201,"It's a quite nice breakfast-setup bundle, nothing too fancy but decent. I would take out the vegan chocolate bars as the other products arent vegan, so theres no point in having that."
202,breakfast cookie
203,OUNCE CANS
204,Loma linda packages
205,good quality
206,NICE
207,macaroni and cheese
208,Cocoa Mix
209,hot drinks 
210,Snack Food
211,they are all snacks
212,Chips/Crackers
213,Breakfast Bars
214,nuts selection
215,Tea
216,Organic stuff
217,Coffee Products
218,salty snacks
219,cookies
220,K-cup type coffee
221,Different flavors of pancake
222,Noodles
223,Cooked rice
224,Different flavors of coffee
225,different brands of sauce
226,Different food of snack
227,Flour / meal
228,Coffee ground and beans
229,nuts
230,snacks
231,Kit Kat 
232, Cotton Candy and KYOTO 
233,MIRACLE NOODLE
234,CHOCOLATES ITEM
235,Identify the queries that bring users to your site. The first thing you have to do is understand the queries that drive traffic. This is a simple matter of analytics and webmaster data. ...
236,Snacking
237,Fiber One snack products
238,"prepackaged, portable Asian meals"
239,"portable, prepackaged savory food"
240,Both are water.
241,Organic snacks 
242,Jerky
243,Cheese
244,"Snacks
Appetizers
Party condiments 
Trail mix
Jerky
Cheese"
245,snack
246,Eating Products 
247,Butter
248,Groceries
249,tea types
250,sweet snack
251,eat sugar
252,Breath Fresheners
253,snack food
254,Snacks
255,Diced Vegetables
256,meal ingredients
257,energy
258,mio energy
259,taste
260,Different food for cooking
261,Sardines
262,Tea/Coffee
263,BREAKFAST KIT FOR KID AND ADULT
264,Drinks
265,Candy
266,Lollipops for snacks
267,Salsa
268,Snack Foods
269,Diet
270,Beverages
271,Items for Dinner
272,Dips for entertaining
273,health foods
274,quantity
275,Bake mix
276,Flour
277,Dried Fruit
278,Berries
279,snacks food
280,pasta
281,dreamfield angel pasta
282,k-cup coffee
283,pre-prepared food
284,Vegan Meat Free Products (Meat alternative)
285,seeds
286,"vegan organic food, they are complementary products"
287,Hobby: Planting the tree at home : It is Eating Material
288,Food to eat
289,baking
290,lindt chocolate & hersheys spring treats
291,Different food for cooking
292,Different food for cooking
293,breakfast food
294,candy
295,Breakfast sweet pancakes
296,snacks
297,SNACKS ITEMS
298,very high quality.
299,Ginger Flavored
300,Healthy sweets
301,coffee cups
302,Candies 
303,instant drinks
304,Hot Cocoa
305,Sandwich meat
306,Creating a specific dish utilizing all the above ingredients
307,Olives
308,Coffee drinking
309,coffee
310,different food for cooking
311,snack food
312,Beverages
313,Breakfast foods
314,"item 1,item 5"
315,Cereals (different brands)
316,different flavors of teas
317,different flavors of snack bars
318,different teas
319,Pickle
320,Bars
321,Jarred Goods
322,different kinds of snack
323,Organic food
324,These are breakfast foods or items that can be used for breakfast. The sesame is a little different but could be used to add to the other items as an add on. 
325,SNACKS
326,Snack Food
327,Beverages
328,Tea
329,chocolate
330,krusteaz bars 
331,A gift basket
332,Chocolates
333,both fiber one items
334,snack food
335,baking items
336,Flax products
337,bread substitutes
338,baking
339,Oat bran
340,coffee product
341,Different flavors of cup
342,flour
343,Flours
344,Different food for cooking
345,Ounce
346,"weight loss, healthy food, smoothie"
347,walnuts
348,Good sense organic
349,Having tea party with snacks
350,tea
351,Refreshment 
352,Tea
353,snacks
354,Fruit snacks
355,snacks
356,making tea
357,baby food
358,seasoning herbs 
359,Butter
360,Herbs 
361,good product
362,jasmine tea and dry milk
363,Different food of snack
364,Different food of snack
365,Gluten-free crackers
366,Spices and flavorings
367,Snack foods
368,it is good product and healthy.
369,snack items
370,chips and snacks
371,sweets and candy
372,Seaweed
373,Himalayan salt
374,These are large cooking items. 
375,Baking
376,Grain related
377,Gluten free food
378,Organic
379,snacks
380,coffee
381,food gifts
382,sweet food
383,COOKIES
384,CRACKERS
385,Chips and crackers
386,SNACKS FOOD
387,To drink coffee for breakfast.
388,DRINKS
389,tuna
390,They are products with no salt
391,cooking
392,Snack
393,spices
394,bulk dried foods
395,GLUTEN FREE 
396,Gluten-free pasta
397,Candy
398,Beef Jerky Snack
399,christmas
400,gum
401,Coffee products
402,Cooking
403,Cake toppings
404,Different food for drinking
405,Spices
406,All products for snacking.
407,Nuts chocolates
408,Baby food
409,kichen of india curry paste product
410,Curry
411,snack
412,Snacks
413,Spices/Cook
414,Tea
415,candy
416,making sushi
417,both are chocolate cookies
418,Snacks
419,Prepare beverages
420,coffee and tea
421,chocolate Hot cocoa
422,Gluten-free foods 
423,bread mixes
424,HOMEMADE HONEY CHOCOLATES
425,tea bags
426,Ready Meal
427,Hellmann's Real Mayonnaise
428,Pasta Sides
429,Try organic food/products for the everyday use
430,cereal for breakfast
431,Can try different flavours  
432,snacks
433,derivatives of tropical fruits
434,just everyday grocery pantry items
435,Pasta
436,To provide an infant with formula
437,buying somewhat exotic items for a party
438,spinach products
439,snacks
440,Beverage
441,coffea
442,snacks
443,Coffee
444,making coffee
445,Cookies
446,coffee
447,popcorn
448,Different food for drinking
449,Crackers
450,Snacks
451,All for k-cup machine
452,"Understand the intent of those queries. Behind every query is a specific intent.
"
453,chocolate
454,snax and cookies
455,Peanut Varieties
456,Breakfast Oatmeal and Coffee
457,Citrus peels
458,Nuts
459,Savoury Snacks
460,Blue Diamond Almond
461,Spreads
462,food
463,Peanut butter and honey
464,snacks
465,baby food
466,baby food
467,delicious
468,Baking
469,candy
470,drinks
471,powder
472,Different food for baking
473,Whole bean coffee
474,Chocolate candy
475,Hot sauce
476,Popcorn
477,Snack food
478,2
479,Hot beverage contents 
480,Pre-made waffle mixes
481,Fruits Cups
482,Meals snacks
483,Microwave food
484,Flax Snax
485,Candy snacks
486,Stash Tea loose leaf pouch
487,9 grain bread mix & tortilla stuffers
488,Breakfast & starters
489,coffee user
490,Soup and Crackers
491,Cake Decorating
492,Some weird cupcakes
493,Water
494,tea
495,Snacks
496,Baby Foods
497,Drinks
498,Different flavors of mix
499,coffee
500,TEA COFFEE AND CAPPUCCINO
501,Sweats
502,Cooking pastries or meals.
503,snack foods
504,candy
505,dried fruits
506,snacks 
507,"Understand the intent of those queries. Behind every query is a specific intent.
"
508,Teas' Tea
509,Fruit juice
510,Drinks
511,All the three items are complementary products and also similar with same product category.
512,different flavors of coffee
513,snack
514,tea
515,gift food
516,Salt Water Taffy
517,black bean
518,Grains
519,Legumes
520,red mill and hodgson mill
521,Different food for baking
522,Different food for drinking
523,whole spice different types and different flavour.
524,DURKEE CHOPPED ONION
525,coffee grounds
526,loose leaf tea
527,cafe
528,"Understand the intent of those queries. Behind every query is a specific intent.
"
529,Instant Soup
530,Noodles
531,quality and availability of conversation rates
532,soup
533,Food Spread
534,These are organic foods
535,Bob's Red mill
536,Baking
537,Cooking
538,Seasonings/sauces
539,gluten free mixes
540,baking
541,Simple Snack
542,dry cereals derivates/bread substitutes
543,crackers
544,Gift basket
545,food for party
546,These are brands that Frontier offers 
547,Tea Bag and cups
548,different type of chocolate
549,snacks
550,seafood flavored snacks
551,Organic products
552,Apple Cider K-Cup
553,to drink
554,coffee
555,"Understand the intent of those queries. Behind every query is a specific intent.
"
556,NATURAL COCONUT MILK
557,different flavors of biscuit
558,Different food for cooking
559,fruit
560,Organic
561,Spices
562,suger
563,I think they were all used for the intent of baking something. 
564,low cost
565,All are 7sed to bake
566,flakes
567,Sweet cookies
568,different food for cooking
569,kid food
570,snack food
571,Chocolates
572,coconut
573,Condiments
574,Different food for cooking
575,Bread spread
576,Salad
577,Spread
578,Snacks
579,Coffee and tea
580,tea
581,Different food for cooking
582,Land O Lakes Cocoa
583,spaghetti
584,Drink coffee
585,For users hwo preferd to Natural and Organic Food
586,International Sauces
587,Asian noodles
588,ready to cook meal
589,Different food for baking
590,Different size of Syrup
591,Sugar free candy
592,Baking desserts
593,nuts
594,snack foods
595,coffee
596,SNACKS FOOD
597,FOOD ITEMS
598,Right foods vegan
599,good product
600,food toppers
601,Romanian
602,base or condiments
603,jellys
604,snack jerky
605,coffee
606,seaweed snacks
607,"K-Cup Items 1, 3 and 8 are complementary products; "
608,Different food for drinking
609,Coffee
610,Healthy grains and seeds
611,Beverages
612,Health items
613,seasonings and sauces
614,vegan
615,gummy candy
616,peanut butter
617,Breakfast food
618,Different food for drinking
619,Different flavors of snack
620,Different flavors of bars
621,Different food for drinking
622,Noodles
623,Flours
624,Candy and Coffee Lovers
625,Quick preparation
626,Different flavors of cake
627,Different food of snack
628,Nuts and snacks
629,Easter candy
630,Easter/holiday candy
631,Sweets
632,Breakfast 
633,Candy and cake
634,"k-cups, coffee/tea"
635,Different flavors of crips
636,Different flavors of crips
637,Different food of snack
638,simply organic grilling season
639,CHOCOLATE
640,different kinds of sweets
641,chocolate bars
642,snacks
643,health food snack
644,baking/cooking supply
645,cooking
646,Snack Foods
647,Bread Mixes
648,Ginger chews
649,Different food for drinking
650,cooking
651,snack food
652,Instant meals 
653,Coffee
654,Dessert
655,Snacks
656,Flour alternatives
657,Taco seasoning
658,baking
659,salty snacks 
660, Simply Organic Garlic Powder and Cinnamon Ground  
661,baking
662,chocolate
663,breakfast
664,candy
665,nuts
666,Easter Candy
667,price seams fair
668,food
669,Different food of snack
670,Kizandy Candy
671,Different food for drinking
672,Different food for baking
673,Sweets
674,meal
675,soup
676,tasty
677,Passover
678,snacks for children
679,Sweets
680,Flavouring for alcohol
681,DRINKS
682,El Guapo type of bitters
683,Oils
684,Soup
685,types of chili
686,Peanut products
687,Canned goods
688,Jack Links Packages
689,healthy food
690,Veggie Food
691,Dinner
692,CHOCOLATE RELATED 
693,snack food
694,BROWNIES
695,Cookies
696,snack food
697,they are all flour type can be bundled
698,Different flavors of mix
699,Both are same type all others are some how different
700,pasta
701,green beans
702,Snacks
703,Grains
704,food cake
705,asian dinner
706,They want Mushrooms.
707,Different food for cooking
708,Different flavors of cans
709,Different food for baking
710,Cooking
711,Coconut oil
712,different food of nuts
713,different food for cooking
714,seasoning
715,flavor food
716,Bbq
717,candy
718,drink mix
719,tea
720,"If someone wants to take a pause and eat a snack, they can be an option."
721,Different food of snack
722,fruit
723,fast fooed
724,Sweet candy
725,Rice cakes
726,Tea
727,alternate items
728,Veggie pasta
729,Ready made food
730,Snack food
731,candy
732,televison 
733,Interested in Indian Food
734,Prepared meals.
735,Rice
736,thai
737,Soup Ingredients
738,snacks
739,drinks
740,Coffee
741,Bread  mix
742,to buy poppy seeds for his/her dog/s
743,Wellness
744,Snack Foods
745,crackers
746,Ghee
747,Organic Products/Healthy
748,both are relevant
749,Coconut products
750,Baking
751,Awesome
752,Spices
753,The user can drink different types of juices whenever they want.
754,snacks
755,cookies
756,children food
757,Asian Cuisine
758,different brands of coffee
759,They are health food and Morning energy related. Breakfast foods and dairy free substitutes.
760,spice
761,Natural organic cocnut
762,Sweetening agents
763,Baking
764,Cream
765,Seasonings
766,Ingredients for baked goods
767,breakfast items
768,pickled
769,k cup coffee
770,flour
771,Sahale snacks
772,Spread on bread or crackers.
773,bulk gluten-free foods
774,"TEA AND COFFEE ITEMS, DRINKS"
775,chai latte
776,fruit snacks
777,baking
778,bourbon vanila beans and sumac spice
779,xanham gumm and gluten free ounces 
780,juice
781,peanuts
782,different brands of coffee
783,different food for baking
784,cheese
785,Mouse
786,sweet snack
787,coconut oil
788,snack products
789,muffin mixed
790,sweeteners
791,bars
792,Kind packages
793,Snacks
794,Snack
795,snack food
796,side dishes
797,Nuts
798,salt
799,baking
800,different brands of coffee
801,Different food for cooking
802,Healthy snacks.
803,Soups
804,Dry food
805,Sweetners
806,coffee 
807,K cups
808,Breakfast Cereals
809,brand
810,SNACKS
811,SPREADS
812,Tea essence
813,Sweets / Snacks
814,Candies
815,Nice
816,all items are  not relevant
817,Different food for cooking
818,Curry paste
819,Ethnic cuisine 
820,maple
821,Candy
822,harbach romanian branza burduf
823,Noodles
824,foreign foods
825,caramels 
826,Fish Food Products
827,Sweeteners
828,Hot Sips
829,sugar
830,Sweetners
831,Beverages
832,Spices/powders for cooking 
833,Organic items
834,cooking
835,sweets
836,Fruit flavour candies 
837,nuts 
838,Pistachios and walnuts
839,baby food
840,snack
841,jam
842,healthy
843,Sauce
844,Eating chocolate
845,Different food for cooking
846,Different food for drinking
847,different candy
848,Snack foods 
849,Beef jerky
850,Flours
851,All products are gluten free. All products are for the morning meal.
852,Snacks
853,Watching a movie 
854,JUICE
855,Different food for drinking
856,different food of ginger
857,Dehydrated food
858,Cheese Crackers
859,SNACK ITEM
860,candy
861,they are gluten free
862,they are sweets
863,Different flavors of popcorn
864,snack food
865,Coffee Capsules
866,glass globe
867,breakfast food
868,FRUITS SLICES
869,Dried Mango
870,Different food of snack
871,indian food
872,Spices 
873,Making a meal
874,Tuna and crackers (common snack combo)
875,Tuna
876,soft drinks
877,Dr Brown sodas
878,Chocolate
879,good quality
880,baking
881,Betty Crocker Cake
882,Making tea
883,breakfast food
884,different coffee
885,snacks
886,Different size of cakes
887,Tea & tisane (different types)
888,Organic foods and drinks
889,Flour (different types)
890,Simple organic types
891,amazon
892,Coco
893,Different food for coffee
894,Different flavors of soup
895,Different flavors of noodle
896,Crackers
897,Nuts
898,Snack foods
899,"Items 1-3 and Item 7 - A variety of crackers from a single brand shows a brand preference.
Items 5-6 - nuts and seeds."
900,COFFEE FILTERS
901,Making homemade bubble tea
902,International chocolate 
903,Candy
904,Healthy snacks
905,they are all candies
906,they are all alternatives for hot sauce
907,To make a bean dish
908,cake
909,candy
910,Snack
911,Nuts
912,identifying food items
913,Jellies
914,Nuts
915,Candy
916,ALL GOOD SWEETS
917,beverages
918,items for school/work meals
919,Miracle Noodle
920,Different food for drinking
921,Different flavors of soup
922,for childrens
923,snack food
924,coconut oil
925,foodstuffs
926,supplements
927,bottle
928,Different food of the snack
929,Cake mix item 4 5
930,Soy bar
931,Healthy snacking 
932,chocolate
933,Organic Products
934,good quality
935,Can be used for baking
936,To drink.
937,Coffee
938,Rice flour
939,Sweets
940,Condiment
941,snacks
942,Asian foods
943,Baking
944,noodles 
945,RICE
946,snacks
947,it is good product and usefull.
948,SNACKS
949,SEEDS
950,SALAD DRESSING
951,SPICES
952,healthy food
953,protein powders
954,Different flavors of coffee
955,Chocolate
956,CHOCOLATE SNACKS
957,Beef snacks
958,different food for cooking
959,sealed packing good
960,snacks
961,Snacks
962,Crunchy grain snacks
963,CANDY
964,CEREAL
965,Different food for baking
966,Different food for cooking
967,amazon
968,ounce package
969,kid food
970,K cups
971,Preserved fruits and vegetables
972,Organic food
973,Dried produce
974,coffee
975,All of them are gluten flee
976,coconut products
977,spices
978,drinks
979,Chewing Gum
980,Various chiclet gum
981,pudding 
982,Seasoning
983,Healthy snacks
984, bars 
985,Baking & cooking
986,Coffee and creamer
987,Mushrooms 
988,cookies
989,Food for small children
990,Cooking from Scratch
991,snacks
992,sweets
993,beef
994,baby food
995,different hot sauce
996,Snack Food
997,Organic products
998,Pasta
999,cereal
1000,noodles
1001,Organic items
1002,essential for me
1003,solid items
1004,breakfast food
1005,Different food for drinking
1006,can be used in Thai Iced Tea
1007,backpacking
1008,Breakfast
1009,different brands of sauce
1010,coconut water
1011,"Coconut water, pack of 12 (different sizes and brands)"
1012,HOOSIER HILL FARM POWDER 
1013,Flavor mix
1014,RICE
1015,SNACK FOOD
1016,amazon
1017,Tea product
1018,coconut oil
1019,Cheese Products
1020,Seasoning Salt
1021,Eat healthy
1022,Mouth Freshner
1023,snack
1024,Snack food
1025,"kokuho rose riice, 15-pound"
1026,rice
1027,SNACK FOOD
1028,LEAF TEA
1029,Tea
1030,meat snacks
1031,chocolates for edible
1032,Different food for drinking
1033,Amy's Organic soups
1034,Flavoring for baking
1035,All star extract
1036,Watkins flavouring
1037,Supplement/ smoothie additives
1038,Hot beverages and accessories. 
1039,These are all caffeine related items
1040,snack foods
1041,"I could see a grocer bundling the coffee with the kind bars, tea, or sesame stixs. The intent would be to sell more of the highlighted product such as the KIND BARS!"
1042,Different food for cooking
1043,Different food for cooking
1044,Different food for cooking
1045,Different food for cooking
1046,Snacks
1047,Crackers
1048,Cookies
1049,SNACKS
1050,With chocolate in it
1051,Snacks
1052,lunch
1053,Almonds
1054,Crackers
1055,good product
1056,Sushi Ginger
1057,Soda ingredients 
1058,Candy
1059,They are going to make pasta. 
1060,snacks
1061,Breakfast Items
1062,Different food for cooking
1063,HEALTHY AND ORGANIC ITEMS
1064,BLACK TEA
1065,Spices
1066,General food supplements
1067,Sauce
1068,Crunchy fruits and topping powders 
1069,cocoa
1070,Meat
1071,needed for daily foods
1072,snack
1073,Carb food
1074,Asian-type instant noodles/rice
1075,Ounce
1076,ketchup sauce
1077,Organic Foods
1078,Seasonings
1079,Soup
1080,Lunch foods
1081,Healthy snacks
1082,breakfast
1083,pomegranate trail mix
1084,Freekeh
1085,different syrup
1086,different candy
1087,Rice
1088,MIX
1089,pasta foods
1090,CAMPBELL'S SOUP
1091,SNACKS
1092,snacks
1093,FOOD BOX COMPLETE WITH LOGN-LIFE FOODS
1094,beans
1095,Different flavors of can
1096,candy
1097,sweet 
1098,licorice flavored candy
1099,Mints
1100,Teas
1101,make tea
1102,Different food for drinking
1103,Sugar free
1104,Sugarfree Snacks
1105,They are all baking products and can be used together. 
1106,gluten free pastry
1107,pastry decorations
1108,Different food for baking
1109,syrup
1110,soup
1111,hot sauce
1112,Spices
1113,Sweeteners
1114,Seasoning
1115,Cooking and Baking
1116,Nuts 
1117,Baby food
1118,Super Health Foods
1119,Seeds
1120,Snacks
1121,Nuts
1122,Different food for cooking
1123,Different flavors of mix
1124,Bob's red mill
1125,Flour
1126,Baking
1127,"If someone wants to take a pause and eat a snack, they can be an option."
1128,chocolate
1129,snacks
1130,sweets
1131,Very good price
1132,FLOUR
1133,coffee
1134,amazon
1135,"EVERY DAY ITEMS INCLUDING BREAKFAST IN THE FORM OF CEREAL, ITEMS TO COOK WITHIN INCLUDING CONDIMENTS AND RAZORS."
1136,"calming
"
1137,drinks
1138,Different food for drinking
1139,coffee pods
1140,Snacks
1141,different brands of coffee
1142,Coffee Capsules
1143,dole fruits in gel
1144,craving fruits 
1145,spreads
1146,Vegan diet
1147,Cocktail Mixers
1148,Grains
1149,Coffee
1150,rice
1151,different candy
1152,"Healthy Pantry Stock, Healthy Convenience Foods"
1153,To make coffee
1154,Organic Camano
1155,Different food of snack
1156,Organic food
1157,Spices
1158,sauces
1159,ood
1160,Sweets
1161,candy
1162,Fish soup
1163,item 5
1164,Different food of snack
1165,chocolate orange varieties (gifting)
1166,These resembles same product all others are different
1167,snack foods
1168,Soup broth
1169,Instant food cups
1170,vegan
1171,pasta
1172,rolls
1173,Gluten Free
1174,glacing bakes
1175,snack
1176,Cookies
1177,Different food for drinking
1178,different flavors of nuts
1179,dried fruit
1180,Different food for cooking
1181,snack food
1182,COFFEE
1183,mixes
1184,snack food
1185,snacks
1186,Chili 
1187,"item 1,2,6,8,9 - cookies with some topping add
3,4,10- chocolate
"
1188,chocolates & butter 
1189,coconut water
1190,Spaghetti
1191,Different food of snack
1192,SIMPLY ORGANIC POWDER CERTIFIED
1193,SNACKS FOOD
1194,The user's intention is to purchase coffee capsules.
1195,snacks
1196,fruit smoothie
1197,the user intent is to buy some spicy products to cook.
1198,Drink
1199,Snack food
1200,Appetizer
1201,Meal
1202,different brands of coffee
